ticker|company|date|close
SWRAY|Swire Pacific Limited|2008-08-07|9.85
SWRAY|Swire Pacific Limited|2008-08-06|10.28
SWRAY|Swire Pacific Limited|2008-08-05|10.35
SWRAY|Swire Pacific Limited|2008-08-04|10.58
SWRAY|Swire Pacific Limited|2008-08-01|10.8
SWRAY|Swire Pacific Limited|2008-07-31|10.6
SWRAY|Swire Pacific Limited|2008-07-30|10.9
SWRAY|Swire Pacific Limited|2008-07-29|10.65
SWRAY|Swire Pacific Limited|2008-07-28|10.65
SWRAY|Swire Pacific Limited|2008-07-25|10.76
SWRAY|Swire Pacific Limited|2008-07-24|10.61
SWRAY|Swire Pacific Limited|2008-07-23|10.85
SWRAY|Swire Pacific Limited|2008-07-22|10.4
SWRAY|Swire Pacific Limited|2008-07-21|10.55
SWRAY|Swire Pacific Limited|2008-07-18|10.15
SWRAY|Swire Pacific Limited|2008-07-17|10.15
SWRAY|Swire Pacific Limited|2008-07-16|10.25
SWRAY|Swire Pacific Limited|2008-07-15|9.9
SWRAY|Swire Pacific Limited|2008-07-14|10.0
SWRAY|Swire Pacific Limited|2008-07-11|10.0
SWRAY|Swire Pacific Limited|2008-07-10|9.96
SWRAY|Swire Pacific Limited|2008-07-09|9.9
SWRAY|Swire Pacific Limited|2008-07-08|10.15
SWRAY|Swire Pacific Limited|2008-07-07|10.15
SWRAY|Swire Pacific Limited|2008-07-03|9.56
SWRAY|Swire Pacific Limited|2008-07-02|9.45
SWRAY|Swire Pacific Limited|2008-07-01|10.05
SWRAY|Swire Pacific Limited|2008-06-30|10.2
SWRAY|Swire Pacific Limited|2008-06-27|10.25
SWRAY|Swire Pacific Limited|2008-06-26|10.44
SWRAY|Swire Pacific Limited|2008-06-25|10.8
SWRAY|Swire Pacific Limited|2008-06-24|10.75
SWRAY|Swire Pacific Limited|2008-06-23|10.9
SWRAY|Swire Pacific Limited|2008-06-20|10.7
SWRAY|Swire Pacific Limited|2008-06-19|10.95
SWRAY|Swire Pacific Limited|2008-06-18|11.1
SWRAY|Swire Pacific Limited|2008-06-17|11.1
SWRAY|Swire Pacific Limited|2008-06-16|11.1
SWRAY|Swire Pacific Limited|2008-06-13|11.0
SWRAY|Swire Pacific Limited|2008-06-12|11.5
SWRAY|Swire Pacific Limited|2008-06-11|11.2
SWRAY|Swire Pacific Limited|2008-06-10|11.35
SWRAY|Swire Pacific Limited|2008-06-09|11.55
SWRAY|Swire Pacific Limited|2008-06-06|11.64
SWRAY|Swire Pacific Limited|2008-06-05|11.79
SWRAY|Swire Pacific Limited|2008-06-04|11.7
SWRAY|Swire Pacific Limited|2008-06-03|11.6
SWRAY|Swire Pacific Limited|2008-06-02|11.7
SWRAY|Swire Pacific Limited|2008-05-30|11.55
SWRAY|Swire Pacific Limited|2008-05-29|11.65
SWRAY|Swire Pacific Limited|2008-05-28|11.6
SWRAY|Swire Pacific Limited|2008-05-27|11.65
SWRAY|Swire Pacific Limited|2008-05-23|11.7
SWRAY|Swire Pacific Limited|2008-05-22|11.72
SWRAY|Swire Pacific Limited|2008-05-21|11.9
SWRAY|Swire Pacific Limited|2008-05-20|11.85
SWRAY|Swire Pacific Limited|2008-05-19|12.22
SWRAY|Swire Pacific Limited|2008-05-16|12.3
SWRAY|Swire Pacific Limited|2008-05-15|12.4
SWRAY|Swire Pacific Limited|2008-05-14|12.33
SWRAY|Swire Pacific Limited|2008-05-13|12.16
SWRAY|Swire Pacific Limited|2008-05-12|12.24
SWRAY|Swire Pacific Limited|2008-05-09|12.2
SWRAY|Swire Pacific Limited|2008-05-08|12.2
